"","year","weighted_average","average","n"
"1","2000",38.2963938653925,32.3191873513514,37
"2","2001",36.8662702203091,31.4426894594595,37
"3","2002",36.6155359975341,30.1437155945946,37
"4","2003",36.4130257856654,29.6432360540541,37
"5","2004",35.9627359445392,28.8222468918919,37
"6","2005",35.5169829105177,27.8317116756757,37
"7","2006",35.2500491799855,27.3980510540541,37
"8","2007",34.919805909102,26.7093784054054,37
"9","2008",33.6341639007834,25.6546034594595,37
"10","2009",33.4736364227451,25.5284953513514,37
"11","2010",33.4620415278254,25.3572105945946,37
"12","2011",33.3087081097524,25.2957908648649,37
"13","2012",33.1448342923815,25.2083129189189,37
"14","2013",32.9059635896588,25.3305947297297,37
"15","2014",32.7540774059338,25.1573038108108,37
"16","2015",32.1936225642867,25.106365027027,37
"17","2016",31.6712935557318,24.8025434864865,37
"18","2017",31.9178089896343,24.6235029189189,37
"19","2018",26.4261080488731,24.0467735135135,37
"20","2019",26.3671252836444,23.7291595405405,37
"21","2020",26.0647235440204,23.0922414324324,37
