"iso_3","country","year","waverage","rank"
"EST","Estonia","2022",1,1
"LVA","Latvia","2022",1,1
"LTU","Lithuania","2022",0.882106025809717,3
"HRV","Croatia","2022",0.871574911544551,4
"GBR","United Kingdom","2022",0.855368376234344,5
"ITA","Italy","2022",0.763381255707611,6
"ISL","Iceland","2022",0.746813557424292,7
"FRA","France","2022",0.74191727598612,8
"CHE","Switzerland","2022",0.741130678665535,9
"SVK","Slovakia","2022",0.739108522904136,10
"BEL","Belgium","2022",0.737346007053591,11
"FIN","Finland","2022",0.734223661239462,12
"CZE","Czech Republic","2022",0.732900982622489,13
"AUT","Austria","2022",0.731752559386399,14
"PRT","Portugal","2022",0.725795093032973,15
"BGR","Bulgaria","2022",0.724520292877729,16
"LUX","Luxembourg","2022",0.710651118374072,17
"SWE","Sweden","2022",0.703287277929963,18
"DNK","Denmark","2022",0.681809865085748,19
"DEU","Germany","2022",0.662911974531595,20
"TUR","Turkey","2022",0.660536419841566,21
"ROU","Romania","2022",0.658026983245536,22
"SVN","Slovenia","2022",0.653206294653551,23
"MLT","Malta","2022",0.64669974660385,24
"IRL","Ireland","2022",0.639369933156099,25
"CYP","Cyprus","2022",0.63144478133936,26
"GRC","Greece","2022",0.63144478133936,26
"NLD","Netherlands","2022",0.626344411893008,28
"ESP","Spain","2022",0.613114752512167,29
"NOR","Norway","2022",0.607342889836981,30
"POL","Poland","2022",0.593159040099005,31
"HUN","Hungary","2022",0.58335102376213,32
