"","Country","Weighted Average Rank","Weighted Average Allowance","Buildings Rank","Buildings Allowance","Machinery Rank","Machinery Allowance","Intangibles Rank","Intangibles Allowance"
"341","Estonia",1,1,1,1,1,1,2,1
"785","Latvia",1,1,1,1,1,1,2,1
"805","Lithuania",3,0.882,3,0.827,6,0.905,4,0.966
"118","Belgium",4,0.8,4,0.622,9,0.876,1,1.07
"574","Iceland",5,0.747,5,0.602,16,0.86,16,0.812
"421","France",6,0.742,7,0.548,8,0.88,7,0.87
"1278","Switzerland",7,0.741,6,0.555,16,0.86,6,0.905
"765","Korea",8,0.74,7,0.548,5,0.922,19,0.738
"1126","Slovakia",9,0.739,7,0.548,10,0.874,7,0.87
"265","Czech Republic",10,0.733,12,0.543,10,0.874,13,0.841
"1073","Portugal",11,0.726,7,0.548,7,0.888,19,0.738
"842","Luxembourg",12,0.71,14,0.479,12,0.871,7,0.87
"1239","Sweden",13,0.703,14,0.479,16,0.86,12,0.86
"174","Canada",14,0.688,22,0.426,1,1,35,0.49
"381","Finland",15,0.687,13,0.519,20,0.827,19,0.738
"304","Denmark",16,0.682,14,0.479,20,0.827,15,0.813
"1389","United States",17,0.677,29,0.35,1,1,33,0.633
"689","Italy",18,0.668,20,0.463,29,0.76,5,0.965
"650","Israel",19,0.661,23,0.391,13,0.87,17,0.787
"1315","Turkey",20,0.661,21,0.431,15,0.864,31,0.694
"882","Mexico",21,0.66,7,0.548,31,0.738,19,0.738
"1163","Slovenia",22,0.653,23,0.391,13,0.87,19,0.738
"40","Australia",23,0.653,14,0.479,19,0.851,34,0.548
"613","Ireland",24,0.639,14,0.479,25,0.787,32,0.646
"500","Greece",25,0.631,14,0.479,31,0.738,19,0.738
"1352","United Kingdom",26,0.618,23,0.391,30,0.759,14,0.827
"461","Germany",27,0.615,23,0.391,31,0.738,7,0.87
"1202","Spain",28,0.613,23,0.391,27,0.779,19,0.738
"999","Norway",29,0.607,28,0.374,26,0.782,19,0.738
"79","Austria",30,0.607,30,0.338,23,0.813,19,0.738
"921","Netherlands",30,0.607,30,0.338,23,0.813,19,0.738
"1036","Poland",32,0.593,30,0.338,31,0.738,7,0.87
"537","Hungary",33,0.583,35,0.279,22,0.816,19,0.738
"728","Japan",34,0.57,35,0.279,28,0.77,17,0.787
"960","New Zealand",35,0.558,34,0.307,35,0.732,19,0.738
"211","Chile",36,0.417,30,0.338,36,0.633,36,0
