"Country","Weighted Average Rank","Weighted Average Allowance","Buildings Rank","Buildings Allowance","Machinery Rank","Machinery Allowance","Intangibles Rank","Intangibles Allowance"
"Estonia",1,1,1,1,1,1,2,1
"Latvia",1,1,1,1,1,1,2,1
"Lithuania",3,0.882,3,0.827,8,0.905,4,0.966
"Italy",4,0.763,5,0.577,15,0.87,5,0.965
"Iceland",5,0.747,4,0.602,20,0.86,19,0.812
"France",6,0.742,8,0.548,11,0.88,7,0.87
"Switzerland",7,0.741,7,0.555,20,0.86,6,0.905
"Republic of Korea",8,0.74,8,0.548,7,0.922,22,0.738
"Slovakia",9,0.739,8,0.548,12,0.874,7,0.87
"Belgium",10,0.737,8,0.548,15,0.87,7,0.87
"Finland",11,0.734,14,0.519,6,0.935,22,0.738
"Czechia",12,0.733,13,0.543,12,0.874,16,0.841
"Austria",13,0.732,6,0.567,10,0.884,22,0.738
"Portugal",14,0.726,8,0.548,9,0.888,22,0.738
"United Kingdom of Great Britain and Northern Ireland",15,0.724,23,0.391,1,1,17,0.827
"Luxembourg",16,0.711,15,0.479,14,0.873,7,0.87
"Sweden",17,0.703,15,0.479,20,0.86,15,0.86
"Canada",18,0.688,22,0.426,1,1,36,0.49
"Denmark",19,0.682,15,0.479,26,0.827,18,0.813
"United States of America",20,0.677,29,0.35,1,1,33,0.633
"Germany",21,0.663,23,0.391,25,0.847,7,0.87
"Israel",22,0.661,23,0.391,15,0.87,20,0.787
"Turkey",23,0.661,21,0.431,19,0.864,31,0.694
"Slovenia",24,0.653,23,0.391,15,0.87,22,0.738
"Australia",25,0.653,15,0.479,24,0.851,34,0.548
"Ireland",26,0.639,15,0.479,29,0.787,32,0.646
"Greece",27,0.631,15,0.479,32,0.738,22,0.738
"Netherlands",28,0.626,30,0.338,28,0.813,7,0.87
"Spain",29,0.613,23,0.391,31,0.779,22,0.738
"Japan",30,0.609,33,0.279,23,0.859,20,0.787
"Norway",31,0.607,28,0.374,30,0.782,22,0.738
"Poland",32,0.593,30,0.338,32,0.738,7,0.87
"Hungary",33,0.583,33,0.279,27,0.816,22,0.738
"Colombia",34,0.58,32,0.306,32,0.738,7,0.87
"Chile",35,0.501,36,0.179,36,0.633,1,1
"New Zealand",36,0.496,35,0.226,35,0.732,34,0.548
