"year","weighted_average","average","n"
"2000",38.871557424159,32.2627252121212,33
"2001",36.2770943378145,31.2820912121212,33
"2002",35.8544601106973,29.8582114242424,33
"2003",35.4466962273301,29.2962798181818,33
"2004",34.6035733176971,28.4668828787879,33
"2005",33.8781336347341,27.4843433939394,33
"2006",33.392060547374,27.058329969697,33
"2007",32.8332936181871,26.2871666969697,33
"2008",30.7019546311548,25.2566463030303,33
"2009",30.6012390886937,25.248312969697,33
"2010",30.5840640501461,25.0851906666667,33
"2011",30.5605780033035,25.0773261212121,33
"2012",30.0107567377935,24.9646538787879,33
"2013",30.1867438515526,25.2118940909091,33
"2014",29.6673011157212,25.0052951818182,33
"2015",29.1622284085976,25.0526668484848,33
"2016",28.2191865453878,24.7142477272727,33
"2017",28.8395784422575,24.5443373939394,33
"2018",27.7369793242016,24.1936981818182,33
"2019",27.5915484975974,23.8361443030303,33
"2020",27.0537459260711,23.1256473333333,33
"2021",26.5585130866882,22.8570847575758,33
